id_vehiculo;codigbus;matricul;fechamat;matriculacion_planner;edad;numempre;nomempre;bastidor;capacidad;paxdepie;paxsentados;paxpmr;plat_pmr;WC;autoport;marca;modelo;carrocero;categoria;clase;longitud;numcv;tara;cilindrada;potencia;nvl_emisiones;escolar;tipo;subtipo;uso;tall_kilom;tal_feckm;totkilom;activo;dns_vehiculo;dispositivo;combustible
1342;ANE0001;0062CYP;2004-07-26;2004-07-26;18;140;;WAUZZZ4F15N018031;;;;;;;;AUDI;A6   3.0 QUATRO;AUDI;;;;;;;;;;TURISMO;5;;;;269109;1;therpasa;;
1343;ANE0002;3721BRX;2002-01-03;2002-01-03;20;140;;WDB210026B481552;;;;;;;;MERCEDES BENZ;SIN ASIGNAR;SIN ASIGNAR;;;;;;;;;;TURISMO;5;;;;514112;1;therpasa;;
1344;ANE0003;7360FZW;2008-02-11;2008-02-11;14;140;;WF0PXXWPDP8B31410;;;;;;;;FORD;SINA SIGNAR;FORD;;;;;;;;;;TURISMO;5;;;;303209;1;therpasa;;
1345;MAG0004;0235GHX;2008-10-08;2008-10-08;14;139;;JMZBK14Y281683507;;;;;;;;MAZDA;MAZDA 3;SIN ASIGNAR;;;;;;;;;;TURISMO;5;;;;73640;1;therpasa;;
1346;R102;4564LWW;2022-03-15;2022-03-15;0;2;Transvia;WF0EXXTTREMA18694;;;;;;;;FORD;TRANSIT;INDUSAUTO;;;;;;;;;;AMBULANCIA;;DISCRECIONAL;;;0;1;transvia;;
1347;30304;4564LWW;2022-03-15;2022-03-15;0;92;Ambulancias Autónomas;WF0EXXTTREMA18694;6;;6;;;;;FORD;TRANSIT FT350 L3;INDUSAUTO;;;;;;;;;;AMBULANCIA TIPO B;SVB;BASIC_FLEET;;;6000;1;ambulancias;;
1348;B114;3570BSX;2002-02-20;2002-02-20;20;43;Buñol;WMAA69ZZZ1H001648;55;24;55;0;;;;MAN;18310;SIN ASIGNAR;;;;;;;;;;URBANO;Urb.30+79;;;;2000000;1;bunyol;;
1349;H118;5578BVP;2002-04-25;2002-04-25;20;44;Herca;WMAA540025W034083;71;0;18;13;;;;MAN;TOURING;;;;;;;;;;;ADAPTADO;Adapt.;;;;2081355;1;bunyol;;
1350;H120;7465DPM;2005-09-07;2005-09-07;17;44;Herca;NMC850RKTLD190003;32;;31;;;;;AYATS;PLATINUM;;;;;;;;;;;MICROBUS 14-35 PAX;;;;;2670441;1;bunyol;;
1351;R103;7122LXD;2022-04-01;2022-04-01;0;2;Transvia;WMA03VUY0N9005614;;;;;;;;;;INDUSAUTO;;;;;;;;;;AMBULANCIA;;DISCRECIONAL;;;0;1;transvia;;
