nomopera;ndias;v_codigbus;v_edad;ndias_ant;ndias_ant_area;ndias_ant_tipo;capacidad;marca;modelo;potencia;tipo;subtipo
Plataforma elevadora;4;H107;7;9;53;157;8;MERCEDES BENZ;CORVIS;120;Discrecional;Microbus
Cambiar/limpiar filtros;4;J326;0;114;114;149;53;MERCEDES BENZ;i6 13.37;315;Discrecional;Normal
Instalaciones electricas;2;U317;18;5;7;91;60;MAN;18.420 HOCL;;NORMAL;
Fuga aceite motor;4;B127;12;22;81;1188;32;VOLVO;HABIT;250;Urbano;Normal
Desconectador de baterias;2;D325;13;7;7;52;24;MERCEDES BENZ;SPRINTER;115;Discrecional;Microbus
Porton/es maletero;2;X114;9;14;14;145;61;MAN;LION'S TOP COACH;324;Discrecional;Normal
Fallo en ABS/EBS;3;J307;3;74;74;235;71;MAN;i6 15.37;353;Discrecional;Normal
Termostatos;2;T298;9;21;21;963;43;IVECO;MIDI STAR;220;Discrecional;Midibus
Fuga gasoil;2;T259;9;7;14;76;55;SCANIA;TITANIUM;279;Discrecional;Normal
Cambio filtro gasoil;2;T259;9;7;14;3531;55;SCANIA;TITANIUM;279;Discrecional;Normal
Caja cambios;17;H087;11;8;8;63;29;MERCEDES BENZ;DIVO I INTERCITY;220;Discrecional;Normal
Cuadro;2;I707;11;31;17;299;55;SCANIA;CENTURY;280;Discrecional;Normal
Timoneria cambio;2;I707;11;31;17;3934;55;SCANIA;CENTURY;280;Discrecional;Normal
Porton/es maletero;2;B145;8;59;59;157;55;MAN;CELERIS;257;Discrecional;Normal
Fuga de aire;2;B145;8;59;59;402;55;MAN;CELERIS;257;Discrecional;Normal
Ventilador;2;B145;8;59;59;69;55;MAN;CELERIS;257;Discrecional;Normal
Actuador freno;2;B145;8;59;59;2861;55;MAN;CELERIS;257;Discrecional;Normal
Plataforma elevadora;2;J264;14;11;81;91;40;IVECO;DCR;317;Discrecional;Normal
