nomopera;ndias;v_codigbus;v_edad;ndias_ant;ndias_ant_area;ndias_ant_tipo;capacidad;marca;modelo;potencia;tipo;subtipo
Flexible escape;1;B117;6;1866;1866;1866;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Cambio filtro retarde;2;U198;24;8471;8471;8471;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga refrigerante;2;U198;24;8471;8471;8471;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga refrigerante;2;B117;6;3;3;1869;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Alternador;2;X110;2;703;703;703;16;FORD;TRANSIT;92;Discrecional;Microbus
Fuga refrigerante;2;T227;4;1359;1359;1359;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Correas;2;T227;4;1359;1359;1359;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Frenos 1º eje;2;T227;4;3;3;1362;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Calefaccion;2;B129;1;281;281;281;55;MAN;DIVO II;338;Discrecional;Normal
Regular ralenti;2;U205;22;9;9;7819;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Compresor a.a;11;T222;5;1697;1697;1697;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Cambio filtro retarde;2;B117;6;5;5;1881;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Fuga de aire;3;B116;4;1392;1392;1392;54;MAN;TOURING;301;Discrecional;Normal
Fuelles1º eje;3;B116;4;1392;1392;1392;54;MAN;TOURING;301;Discrecional;Normal
Timoneria cambio;3;B116;4;1392;1392;1392;54;MAN;TOURING;301;Discrecional;Normal
Fallo en retarde/intarde;3;B116;4;1392;1392;1392;54;MAN;TOURING;301;Discrecional;Normal
Porton/es maletero;3;B116;4;1392;1392;1392;54;MAN;TOURING;301;Discrecional;Normal
Inyectores;15;U208;24;22;22;8549;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Valvula proporcional;15;U208;24;22;22;8549;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Kit embrague;21;S072;3;1098;1098;1098;56;MAN;18.460 HOCL;;NORMAL;54 PAX
Motor;21;S072;3;1098;1098;1098;56;MAN;18.460 HOCL;;NORMAL;54 PAX
Alternador;21;S072;3;1098;1098;1098;56;MAN;18.460 HOCL;;NORMAL;54 PAX
Alternador auxiliar;21;S072;3;1098;1098;1098;56;MAN;18.460 HOCL;;NORMAL;54 PAX
Arranque;21;S072;3;1098;1098;1098;56;MAN;18.460 HOCL;;NORMAL;54 PAX
Baterias;3;H086;1;18;18;375;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Frenos 2º eje;3;B119;4;1133;1133;1133;54;SCANIA;Pb;309;Discrecional;Normal
Limpiaparabrisas;2;H076;6;1952;1952;1952;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Fuelle 2º eje derecho trasero;5;U238;25;12;12;8917;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Correas;5;U238;25;12;12;8917;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Grupo;11;B130;1;102;102;102;55;SCANIA;CENTURY;280;Discrecional;Normal
Cambio filtro desahogo;2;X110;2;26;26;729;16;FORD;TRANSIT;92;Discrecional;Microbus
Frenos 1º eje;2;B129;1;21;21;302;55;MAN;DIVO II;338;Discrecional;Normal
Frenos 2º eje;2;B129;1;21;21;302;55;MAN;DIVO II;338;Discrecional;Normal
Frenos 1º eje;2;H076;6;8;8;1960;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Discos delanteros;2;H076;6;8;8;1960;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Transmision;2;H076;6;8;8;1960;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Fallo en ABS/EBS;2;H086;1;11;11;386;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Manguito/s calefaccion;2;U198;24;33;33;8504;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga aceite motor;2;U205;22;16;16;7854;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Baterias;3;B116;4;32;32;1424;54;MAN;TOURING;301;Discrecional;Normal
Cambio aceite retarde y filtro;3;T229;4;1305;1305;1305;16;FORD;SIN ASIGNAR;;MICROBUS;Micro 16  Plazas
Correas;3;T229;4;1305;1305;1305;16;FORD;SIN ASIGNAR;;MICROBUS;Micro 16  Plazas
Correas;3;H082;3;1119;1119;1119;54;MAN;TOURING STAR;338;Discrecional;Normal
Correas;2;T241;2;540;540;540;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Radiador/es calefaccion;3;H086;1;19;19;405;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Correas;44;H085;2;502;502;502;54;SCANIA;Pb;309;Discrecional;Normal
Correas;16;H081;3;1138;1138;1138;54;MAN;Pb;338;Discrecional;Normal
Cambio filtro retarde;2;U238;25;23;23;8940;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Caja cambios;2;B130;1;16;16;118;55;SCANIA;CENTURY;280;Discrecional;Normal
Latiguillo compresor;2;U208;24;9;9;8572;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Frenos 1º eje;4;B116;4;7;7;1431;54;MAN;TOURING;301;Discrecional;Normal
Bomba agua;5;U208;24;8;8;8580;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fallo en EDC;5;B130;1;10;10;128;55;SCANIA;CENTURY;280;Discrecional;Normal
Grupo;4;B129;1;2;2;333;55;MAN;DIVO II;338;Discrecional;Normal
Correas;3;T222;5;42;42;1739;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Frenos 1º eje;2;X110;2;35;35;764;16;FORD;TRANSIT;92;Discrecional;Microbus
Discos delanteros;2;X110;2;35;35;764;16;FORD;TRANSIT;92;Discrecional;Microbus
Frenos 1º eje;2;H082;3;1;1;1135;54;MAN;TOURING STAR;338;Discrecional;Normal
Carga de gas;4;H076;6;19;19;2005;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Cambiar/limpiar filtros;4;H076;6;19;19;2005;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Cambio filtro retarde;2;H076;6;1;1;2006;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Cambio aceite retarde;2;U205;22;6;6;7887;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Limpiaparabrisas;2;T251;0;48;48;48;58;IVECO;EURORI.C-35 A;;NORMAL;57 Plazas
Frenos 1º eje;2;T229;4;37;37;1342;16;FORD;SIN ASIGNAR;;MICROBUS;Micro 16  Plazas
Fuga liquido embrague/frenos;6;B132;0;64;64;64;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Paragolpes delantero;6;B129;1;33;33;364;55;MAN;DIVO II;338;Discrecional;Normal
Correas;9;H076;6;17;17;2023;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Tacos motor;9;H076;6;17;17;2023;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Compresor a.a;9;H076;6;17;17;2023;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Carga de gas;9;H076;6;17;17;18;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Valvulas aire;2;B119;4;61;61;1205;54;SCANIA;Pb;309;Discrecional;Normal
Fuga refrigerante;7;X110;2;15;15;799;16;FORD;TRANSIT;92;Discrecional;Microbus
Bomba agua;3;H086;1;20;20;455;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Correas;3;H086;1;20;20;455;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Paragolpes trasero;3;H086;1;20;20;455;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Poleas motor;3;I707;1;143;143;143;55;SCANIA;CENTURY;280;Discrecional;Normal
Correas;3;I707;1;143;143;143;55;SCANIA;CENTURY;280;Discrecional;Normal
Cambio filtro adblue;2;T229;4;15;15;1357;16;FORD;SIN ASIGNAR;;MICROBUS;Micro 16  Plazas
Frenos 1º eje;2;T222;5;28;28;1782;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Frenos 2º eje;2;B127;2;43;43;580;32;VOLVO;HABIT;250;Urbano;Normal
Frenos 1º eje;2;H085;2;58;58;560;54;SCANIA;Pb;309;Discrecional;Normal
Alternador;2;T173;12;59;59;4322;52;SCANIA;SIN ASIGNAR;;NORMAL;50 Plazas
Frenos 2º eje;3;U208;24;37;37;8633;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Bujes 2º eje;3;U208;24;37;37;8633;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Correas;3;B116;4;20;20;1489;54;MAN;TOURING;301;Discrecional;Normal
Carga de gas;3;C084;3;56;56;1182;54;MAN;TOURING II;338;Discrecional;Normal
Cambiar/limpiar filtros;3;C084;3;56;56;1182;54;MAN;TOURING II;338;Discrecional;Normal
Carga de gas;2;H082;3;36;36;1185;54;MAN;TOURING STAR;338;Discrecional;Normal
Cambiar/limpiar filtros;2;H082;3;36;36;1185;54;MAN;TOURING STAR;338;Discrecional;Normal
Reglaje valvulas;7;T173;12;11;11;4333;52;SCANIA;SIN ASIGNAR;;NORMAL;50 Plazas
Culatas motor;7;T173;12;11;11;4333;52;SCANIA;SIN ASIGNAR;;NORMAL;50 Plazas
Carga de gas;2;T222;5;15;15;1797;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Frenos 1º eje;2;T241;2;9;9;619;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Cambio filtro desahogo;2;B117;6;87;87;1997;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Radiador;5;B117;6;6;6;2003;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Correas;5;B117;6;6;6;2003;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Intercooler;5;B117;6;6;6;2003;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Paragolpes trasero;5;B117;6;6;6;2003;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Plataforma elevadora;2;B132;0;42;42;106;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Carga de gas;2;T222;5;13;13;13;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Cambiar/limpiar filtros;2;T222;5;13;13;1810;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Limpiaparabrisas;2;H086;1;35;35;490;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Frenos 2º eje;2;B116;4;23;23;1512;54;MAN;TOURING;301;Discrecional;Normal
Rueda trasera derecha exterior usada;4;H076;6;20;20;2068;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Frenos 2º eje;2;B135;1;419;419;419;55;MAN;DIVO II;338;Discrecional;Normal
Carga de gas;2;T222;5;15;15;15;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Cambiar turbina/motor condensadora;2;H082;3;34;34;1219;54;MAN;TOURING STAR;338;Discrecional;Normal
Poleas motor;2;T252;0;57;57;112;27;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Correas;2;I707;1;49;49;49;55;SCANIA;CENTURY;280;Discrecional;Normal
Plataforma elevadora;2;T227;4;144;144;1506;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Fuga gasoil;11;U198;24;36;36;8633;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Manguito/s motor;11;U198;24;36;36;8633;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Nodriza;11;U198;24;36;36;8633;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Instalaciones electricas;11;U198;24;36;36;8633;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Rotulas direccion;2;T173;12;1;1;4368;52;SCANIA;SIN ASIGNAR;;NORMAL;50 Plazas
Poleas motor;2;U249;19;9;9;6957;53;SCANIA;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Correas;2;U249;19;9;9;6957;53;SCANIA;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuelle 1º eje izquierdo;2;H086;1;26;26;516;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Valvula nivel 1º eje izquierda;2;U208;24;3;3;8681;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Turbo;3;C084;3;49;49;1231;54;MAN;TOURING II;338;Discrecional;Normal
Cambio filtro desahogo;2;H076;6;24;24;2092;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Cambiar turbina/motor condensadora;2;T173;12;8;8;4377;52;SCANIA;SIN ASIGNAR;;NORMAL;50 Plazas
Cambiar/limpiar filtros;2;T173;12;8;8;4377;52;SCANIA;SIN ASIGNAR;;NORMAL;50 Plazas
Frenos 1º eje;4;B119;4;75;75;1280;54;SCANIA;Pb;309;Discrecional;Normal
Cambiar turbina/motor condensadora;2;B117;6;32;32;2035;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Cambiar/limpiar filtros;2;B117;6;32;32;2035;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Kit embrague;18;T222;5;36;36;1861;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Volante motor;18;T222;5;36;36;1861;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Reten trasero motor;18;T222;5;36;36;1861;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Presion en circuito refrigeracion;18;T222;5;36;36;1861;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Reglaje valvulas;18;T222;5;36;36;1861;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Inyectores;18;T222;5;36;36;1861;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Culatas motor;18;T222;5;36;36;1861;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Arranque;18;T222;5;36;36;1861;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Rueda trasera izquierda exterior usada;2;H088;1;28;28;365;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Arranque;4;U238;25;17;17;9064;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Rueda trasera izquierda exterior usada;4;B117;6;6;6;2041;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Fuga de aire;2;U198;24;11;11;8644;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Latiguillo compresor;2;U198;24;11;11;8644;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga escape;3;T227;4;15;15;1532;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Plataforma elevadora;3;T227;4;15;15;26;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Rueda trasera izquierda exterior usada;2;H088;1;8;8;8;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Bomba hidroventilador;2;H082;3;24;24;1249;54;MAN;TOURING STAR;338;Discrecional;Normal
Correas;2;H082;3;24;24;130;54;MAN;TOURING STAR;338;Discrecional;Normal
Cambiar/limpiar filtros;2;B116;4;43;43;1555;54;MAN;TOURING;301;Discrecional;Normal
Rueda delantera derecha nueva;2;B135;1;15;15;456;55;MAN;DIVO II;338;Discrecional;Normal
Paragolpes trasero;3;T229;4;30;30;1443;16;FORD;SIN ASIGNAR;;MICROBUS;Micro 16  Plazas
Frenos 1º eje;2;H085;2;43;43;78;54;SCANIA;Pb;309;Discrecional;Normal
Frenos 2º eje;2;H085;2;43;43;638;54;SCANIA;Pb;309;Discrecional;Normal
Cambiar turbina/motor condensadora;2;H086;1;9;9;541;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Pintar vehiculo completo;23;X111;2;62;62;845;51;MAN;PLATINUM;265;Discrecional;Normal
Manguito/s calefaccion;2;B117;6;15;15;2056;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Cambiar/limpiar filtros;1;H082;3;11;11;75;54;MAN;TOURING STAR;338;Discrecional;Normal
Cambio valvulina y filtro caja cambios;1;B133;0;162;162;162;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Carga de gas;1;B127;2;83;83;663;32;VOLVO;HABIT;250;Urbano;Normal
Alternador;2;H076;6;28;28;2120;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Cambio valvulina y filtro caja cambios;2;B132;0;59;59;165;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Cambio filtro retarde;2;U205;22;8;8;8001;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Correas;2;U205;22;8;8;8001;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Reaprete de culatas;1;T222;5;8;8;1869;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Fuga de aire;2;C084;3;34;34;1265;54;MAN;TOURING II;338;Discrecional;Normal
Fuga refrigerante;1;U208;24;17;17;8716;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Reparar chasis;1;U238;25;20;20;9086;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Manguito/s motor;2;S074;1;52;52;503;54;SCANIA;Pb;309;Discrecional;Normal
Cambio aceite retarde y filtro;1;X110;2;61;61;903;16;FORD;TRANSIT;92;Discrecional;Microbus
Correas;2;H088;1;28;28;401;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Tensores correas;2;H088;1;28;28;401;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Paragolpes delantero;2;B127;2;4;4;680;32;VOLVO;HABIT;250;Urbano;Normal
Poleas motor;2;T241;2;14;14;697;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Inyectores;12;B119;4;49;49;1329;54;SCANIA;Pb;309;Discrecional;Normal
Nevera;12;B119;4;49;49;1329;54;SCANIA;Pb;309;Discrecional;Normal
Flexible escape;2;B116;4;5;5;1586;54;MAN;TOURING;301;Discrecional;Normal
Limpiaparabrisas;2;B133;0;13;13;185;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Paragolpes trasero;6;I707;1;67;67;259;55;SCANIA;CENTURY;280;Discrecional;Normal
Correas;2;U238;25;17;17;186;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Cambio filtro desahogo;2;U238;25;4;4;9107;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Carga de gas;3;B127;2;13;13;30;32;VOLVO;HABIT;250;Urbano;Normal
Cambio filtro retarde;2;U249;19;38;38;7022;53;SCANIA;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Valvulas aire;3;U208;24;12;12;8745;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Rueda delantera izquierda usada;1;X111;2;14;14;859;51;MAN;PLATINUM;265;Discrecional;Normal
Rueda delantera izquierda usada;2;B132;0;35;35;200;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Kit embrague;8;H085;2;48;48;686;54;SCANIA;Pb;309;Discrecional;Normal
Volante motor;8;H085;2;48;48;686;54;SCANIA;Pb;309;Discrecional;Normal
Reten trasero motor;8;H085;2;48;48;686;54;SCANIA;Pb;309;Discrecional;Normal
Frenos 1º eje;2;C086;2;211;211;667;54;MAN;Pb;338;Discrecional;Normal
Trampilla techo;2;U249;19;10;10;7032;53;SCANIA;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Tacografo;2;B117;6;5;5;2098;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Carga de gas;2;T252;0;83;83;195;27;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Compresor a.a;9;T222;5;12;12;220;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Fuga aceite caja cambios;2;H076;6;39;39;2164;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Frenos 1º eje;2;X110;2;43;43;182;16;FORD;TRANSIT;92;Discrecional;Microbus
Fuga escape;2;U238;25;11;11;9135;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Tacografo;1;B117;6;14;14;14;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Pinza freno;3;U255;0;85;85;178;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Frenos 1º eje;2;T252;0;16;16;211;27;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Bomba agua;2;H088;1;33;33;446;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Correas;2;H088;1;33;33;45;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Fuelles1º eje;2;H086;1;8;8;607;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Plataforma elevadora;2;B132;0;26;26;120;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Cambio filtro desahogo;2;B127;2;27;27;728;32;VOLVO;HABIT;250;Urbano;Normal
Simil;4;T227;4;46;46;1613;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Fuelles1º eje;2;H081;3;50;50;1351;54;MAN;Pb;338;Discrecional;Normal
Fuelles1º eje;4;B117;6;20;20;2132;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Paragolpes trasero;2;B117;6;1;1;130;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Correas;1;T173;12;46;46;4479;52;SCANIA;SIN ASIGNAR;;NORMAL;50 Plazas
Radiador/es calefaccion;2;U238;25;22;22;9157;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Radiador;4;T173;12;3;3;4482;52;SCANIA;SIN ASIGNAR;;NORMAL;50 Plazas
Intercooler;4;T173;12;3;3;4482;52;SCANIA;SIN ASIGNAR;;NORMAL;50 Plazas
Frenos 1º eje;2;T229;4;58;58;184;16;FORD;SIN ASIGNAR;;MICROBUS;Micro 16  Plazas
Toldo turisticos;4;U238;25;5;5;9162;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Baterias;4;X111;2;48;48;907;51;MAN;PLATINUM;265;Discrecional;Normal
Rueda trasera derecha exterior usada;4;B132;0;19;19;245;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Carga de gas;4;H086;1;20;20;627;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Frenos 2º eje;1;X111;2;48;48;907;51;MAN;PLATINUM;265;Discrecional;Normal
Bomba hidroventilador;2;X111;2;3;3;910;51;MAN;PLATINUM;265;Discrecional;Normal
Fallo en AVS;6;B130;1;61;61;342;55;SCANIA;CENTURY;280;Discrecional;Normal
Correas;2;U249;19;10;10;119;53;SCANIA;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Rueda trasera derecha exterior usada;2;U249;19;5;5;7081;53;SCANIA;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fallo en AVS;2;U249;19;5;5;7081;53;SCANIA;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Frenos 1º eje;2;H085;2;12;12;95;54;SCANIA;Pb;309;Discrecional;Normal
Rotulas direccion;2;H085;2;12;12;733;54;SCANIA;Pb;309;Discrecional;Normal
Frenos 1º eje;7;U205;22;6;6;8095;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Frenos 2º eje;7;U205;22;6;6;8095;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Palancas freno 2º eje;7;U205;22;6;6;8095;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Tambores delanteros;7;U205;22;6;6;8095;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Tirantes/silembrocs 2º eje izquierdo;2;H076;6;36;36;2211;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Valvula disparo-secador;2;B119;4;67;67;1396;54;SCANIA;Pb;309;Discrecional;Normal
Frenos 2º eje;2;H076;6;5;5;2216;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Tambores traseros;2;H076;6;5;5;2216;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Fuelles 2º eje;2;H076;6;5;5;2216;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Kit embrague;3;B116;4;80;80;1666;54;MAN;TOURING;301;Discrecional;Normal
Volante motor;3;B116;4;80;80;1666;54;MAN;TOURING;301;Discrecional;Normal
Reten trasero motor;3;B116;4;80;80;1666;54;MAN;TOURING;301;Discrecional;Normal
Horquilla;3;B116;4;80;80;1666;54;MAN;TOURING;301;Discrecional;Normal
Frenos 1º eje;2;T227;4;31;31;282;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Frenos 2º eje;2;T227;4;31;31;1644;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Fuga gasoil;4;B133;0;81;81;266;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Bomba freno;2;H088;1;1;1;491;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Fallo en EDC;2;H088;1;1;1;491;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Cambiar turbina/motor condensadora;2;T241;2;63;63;785;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Toldo turisticos;2;U208;24;4;4;8814;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fallo en retarde/intarde;3;T222;5;25;25;1974;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Valvula nivel 2º eje izquierda;3;U238;25;7;7;9187;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fallo en retarde/intarde;2;H088;1;7;7;498;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Fuga refrigerante;2;T173;12;14;14;4515;52;SCANIA;SIN ASIGNAR;;NORMAL;50 Plazas
Bomba agua;4;T229;4;6;6;1564;16;FORD;SIN ASIGNAR;;MICROBUS;Micro 16  Plazas
Culata del compresor del motor;2;U198;24;6;6;8777;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Valvula disparo-secador;2;U198;24;6;6;8777;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Cambio filtro desahogo;1;T229;4;6;6;1564;16;FORD;SIN ASIGNAR;;MICROBUS;Micro 16  Plazas
Limpiaparabrisas;2;B135;1;46;46;580;55;MAN;DIVO II;338;Discrecional;Normal
Correas;2;T241;2;15;15;260;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Fuelles1º eje;3;C084;3;101;101;1380;54;MAN;TOURING II;338;Discrecional;Normal
Kit embrague;3;C084;3;101;101;1380;54;MAN;TOURING II;338;Discrecional;Normal
Clausor;3;C084;3;101;101;1380;54;MAN;TOURING II;338;Discrecional;Normal
Correas;2;B130;1;13;13;378;55;SCANIA;CENTURY;280;Discrecional;Normal
Bombin embrague;2;X110;2;3;3;1012;16;FORD;TRANSIT;92;Discrecional;Microbus
Rueda trasera derecha exterior usada;2;H086;1;40;40;667;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Kit embrague;2;X110;2;1;1;1013;16;FORD;TRANSIT;92;Discrecional;Microbus
Calefaccion;2;C087;1;22;22;538;49;MERCEDES BENZ;DIVO I INTERCITY;220;Discrecional;Normal
Transmision;2;T229;4;12;12;1576;16;FORD;SIN ASIGNAR;;MICROBUS;Micro 16  Plazas
Paragolpes trasero;3;T252;0;40;40;285;27;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Cambiar turbina/motor condensadora;2;H082;3;63;63;181;54;MAN;TOURING STAR;338;Discrecional;Normal
Poleas motor;2;T251;0;50;50;294;58;IVECO;EURORI.C-35 A;;NORMAL;57 Plazas
Timoneria cambio;2;X111;2;55;55;965;51;MAN;PLATINUM;265;Discrecional;Normal
